attributed_node_id,transaction_date,transaction_type,transaction_level,channel_code,sku_code,outlet_code,bill_ref,gross_amount,discount_amount,tax_amount,net_amount,quantity,uom,source,external_ref
212224,2026-08-03,sale,secondary,GT,ENO-REG-5G,,DUMMY-BILL-G0001,800,40,96,760,5,unit,manual_entry,DUMMY-G0001
212224,2026-08-10,sale,secondary,GT,ENO-REG-5G,,DUMMY-BILL-G0002,800,40,96,760,5,unit,manual_entry,DUMMY-G0002
212224,2026-08-18,sale,secondary,GT,ENO-REG-5G,,DUMMY-BILL-G0003,800,40,96,760,5,unit,manual_entry,DUMMY-G0003
212224,2026-08-25,sale,secondary,GT,ENO-REG-5G,,DUMMY-BILL-G0004,800,40,96,760,5,unit,manual_entry,DUMMY-G0004
212224,2026-08-03,sale,secondary,GT,SEN-FRESH-75,,DUMMY-BILL-G0005,920,46,110,874,6,unit,manual_entry,DUMMY-G0005
212224,2026-08-10,sale,secondary,GT,SEN-FRESH-75,,DUMMY-BILL-G0006,920,46,110,874,6,unit,manual_entry,DUMMY-G0006
212224,2026-08-18,sale,secondary,GT,SEN-FRESH-75,,DUMMY-BILL-G0007,920,46,110,874,6,unit,manual_entry,DUMMY-G0007
212224,2026-08-25,sale,secondary,GT,SEN-FRESH-75,,DUMMY-BILL-G0008,920,46,110,874,6,unit,manual_entry,DUMMY-G0008
212224,2026-08-03,sale,secondary,GT,CRO-ADV-15,,DUMMY-BILL-G0009,1040,52,125,988,7,unit,manual_entry,DUMMY-G0009
212224,2026-08-10,sale,secondary,GT,CRO-ADV-15,,DUMMY-BILL-G0010,1040,52,125,988,7,unit,manual_entry,DUMMY-G0010
212224,2026-08-18,sale,secondary,GT,CRO-ADV-15,,DUMMY-BILL-G0011,1040,52,125,988,7,unit,manual_entry,DUMMY-G0011
212224,2026-08-25,sale,secondary,GT,CRO-ADV-15,,DUMMY-BILL-G0012,1040,52,125,988,7,unit,manual_entry,DUMMY-G0012
212224,2026-08-03,sale,secondary,GT,SEN-WHITE-75,,DUMMY-BILL-G0013,1160,58,139,1102,8,unit,manual_entry,DUMMY-G0013
212224,2026-08-10,sale,secondary,GT,SEN-WHITE-75,,DUMMY-BILL-G0014,1160,58,139,1102,8,unit,manual_entry,DUMMY-G0014
212224,2026-08-18,sale,secondary,GT,SEN-WHITE-75,,DUMMY-BILL-G0015,1160,58,139,1102,8,unit,manual_entry,DUMMY-G0015
212224,2026-08-25,sale,secondary,GT,SEN-WHITE-75,,DUMMY-BILL-G0016,1160,58,139,1102,8,unit,manual_entry,DUMMY-G0016
212225,2026-08-03,sale,secondary,GT,ENO-REG-5G,,DUMMY-BILL-G0017,1150,58,138,1092,6,unit,manual_entry,DUMMY-G0017
212225,2026-08-10,sale,secondary,GT,ENO-REG-5G,,DUMMY-BILL-G0018,1150,58,138,1092,6,unit,manual_entry,DUMMY-G0018
212225,2026-08-18,sale,secondary,GT,ENO-REG-5G,,DUMMY-BILL-G0019,1150,58,138,1092,6,unit,manual_entry,DUMMY-G0019
212225,2026-08-25,sale,secondary,GT,ENO-REG-5G,,DUMMY-BILL-G0020,1150,58,138,1092,6,unit,manual_entry,DUMMY-G0020
