attributed_node_id,transaction_date,transaction_type,transaction_level,channel_code,sku_code,outlet_code,bill_ref,gross_amount,discount_amount,tax_amount,net_amount,quantity,uom,source,external_ref
212224,2026-07-02,sale,secondary,GT,ENO-REG-5G,,DUMMY-BILL-A0001,800,40,96,760,5,unit,manual_entry,DUMMY-A0001
212224,2026-07-09,sale,secondary,GT,ENO-REG-5G,,DUMMY-BILL-A0002,800,40,96,760,5,unit,manual_entry,DUMMY-A0002
212224,2026-07-16,sale,secondary,GT,ENO-REG-5G,,DUMMY-BILL-A0003,800,40,96,760,5,unit,manual_entry,DUMMY-A0003
212224,2026-07-02,sale,secondary,GT,SEN-FRESH-75,,DUMMY-BILL-A0004,920,46,110,874,6,unit,manual_entry,DUMMY-A0004
212224,2026-07-09,sale,secondary,GT,SEN-FRESH-75,,DUMMY-BILL-A0005,920,46,110,874,6,unit,manual_entry,DUMMY-A0005
212224,2026-07-16,sale,secondary,GT,SEN-FRESH-75,,DUMMY-BILL-A0006,920,46,110,874,6,unit,manual_entry,DUMMY-A0006
212224,2026-07-02,sale,secondary,GT,CRO-ADV-15,,DUMMY-BILL-A0007,1040,52,125,988,7,unit,manual_entry,DUMMY-A0007
212224,2026-07-09,sale,secondary,GT,CRO-ADV-15,,DUMMY-BILL-A0008,1040,52,125,988,7,unit,manual_entry,DUMMY-A0008
212224,2026-07-16,sale,secondary,GT,CRO-ADV-15,,DUMMY-BILL-A0009,1040,52,125,988,7,unit,manual_entry,DUMMY-A0009
212225,2026-07-02,sale,secondary,GT,ENO-REG-5G,,DUMMY-BILL-A0010,1150,58,138,1092,6,unit,manual_entry,DUMMY-A0010
212225,2026-07-09,sale,secondary,GT,ENO-REG-5G,,DUMMY-BILL-A0011,1150,58,138,1092,6,unit,manual_entry,DUMMY-A0011
212225,2026-07-16,sale,secondary,GT,ENO-REG-5G,,DUMMY-BILL-A0012,1150,58,138,1092,6,unit,manual_entry,DUMMY-A0012
212225,2026-07-02,sale,secondary,GT,SEN-FRESH-75,,DUMMY-BILL-A0013,1270,64,152,1206,7,unit,manual_entry,DUMMY-A0013
212225,2026-07-09,sale,secondary,GT,SEN-FRESH-75,,DUMMY-BILL-A0014,1270,64,152,1206,7,unit,manual_entry,DUMMY-A0014
212225,2026-07-16,sale,secondary,GT,SEN-FRESH-75,,DUMMY-BILL-A0015,1270,64,152,1206,7,unit,manual_entry,DUMMY-A0015
212225,2026-07-02,sale,secondary,GT,CRO-ADV-15,,DUMMY-BILL-A0016,1390,70,167,1320,8,unit,manual_entry,DUMMY-A0016
212225,2026-07-09,sale,secondary,GT,CRO-ADV-15,,DUMMY-BILL-A0017,1390,70,167,1320,8,unit,manual_entry,DUMMY-A0017
212225,2026-07-16,sale,secondary,GT,CRO-ADV-15,,DUMMY-BILL-A0018,1390,70,167,1320,8,unit,manual_entry,DUMMY-A0018
212221,2026-07-02,sale,secondary,GT,ENO-REG-5G,,DUMMY-BILL-A0019,1500,75,180,1425,7,unit,manual_entry,DUMMY-A0019
212221,2026-07-09,sale,secondary,GT,ENO-REG-5G,,DUMMY-BILL-A0020,1500,75,180,1425,7,unit,manual_entry,DUMMY-A0020
212221,2026-07-16,sale,secondary,GT,ENO-REG-5G,,DUMMY-BILL-A0021,1500,75,180,1425,7,unit,manual_entry,DUMMY-A0021
212221,2026-07-02,sale,secondary,GT,SEN-FRESH-75,,DUMMY-BILL-A0022,1620,81,194,1539,8,unit,manual_entry,DUMMY-A0022
212221,2026-07-09,sale,secondary,GT,SEN-FRESH-75,,DUMMY-BILL-A0023,1620,81,194,1539,8,unit,manual_entry,DUMMY-A0023
